English;German
To whom?  ;Wem
Sometimes  ;Manchmal
To live  ;Wohnen
Now  ;Jetzt
To get up / To wake up  ;Aufstehen
Also  ;Auch
Again  ;nochmal
Still / already / for now  ;Noch
To go pick up  ;Abholen
To go / To drive / To travel  ;Fahren
Wardrobe / Closet  ;Schrank
To arrive  ;Ankommen
From;Aus
Company  ;Firma
Bicycle  ;Fahrrad
Bicycle  ;Fahrrad/Velo
Mouth  ;Mund
Ugly  ;Hässlich
There is  ;Gibt es
Is there a rule?  ;Gibt/Hat es eine regel?
Calm  ;Ruhig
To understand  ;Verstehen
Hundred  ;Hundert
Who?  ;Wer
To call / To phone  ;Anrufen
Client;Kunde
Client;Kunde
To connect;Verbinden
How?;Wie/Womit
To start;Anfangen
Homework;Hausaufgaben
To complete / To add;Ergänzen
To complete / To finish / To close;Abschließen
To buy;Ankaufen
To buy;Kaufen
Connect;Verbinden
To know (a person);Kennen
Correct;Richtig
What?;Was
To tick;Ankreuzen
From;Von
Since (when);Seit
From where;Woher
To give;Geben
In front of / In front;Vorne
Really;Echt
To devolve / To transfer;Abgeben
Of;Von
Differences;Ubterschieden
To lose weight;Abnehmen
To forget;Vergessen
To depend;Abhängen
To say;Sagen
Right;Berechtigung
To draw;Zeichnen
To distinguish / To differentiate;Unterschieden
Fun;Lustig
Divorced;Geschieden
To have to / Must;Müssen
Economical;Billig
Education;Erziehung
Episode;Folgen
To remember;Ricordare
To be;Sein
To agree;Stimmen
Easy;Einfach
Fantastic / Great;Toll
To do the shopping;Einkaufen
To spell;Buchstrabieren
To spell;Machen
Flour;Mehl
Until today;Bis heute
Shape;Gestalt
Sentence;Sätze
Siblings;Geschwister
Future;Zukunft
Legs;Füße
Twins;Zwilinge
Gender (feminine, masculine);Genus
Parents of the husband;Schwiegeeltern
Kind / Nice;Nett
Already / Again;Schon
To watch;Schauen
To watch TV;Fernsehen
To drive;fahren
My nose is clogged;Die nase ist zu
To imagine;Vorstellen
Important;Wichtig
To mean / To think;Meinen
To invite;Einladen
Lakes;Seen
Desk lamp;Schreibtischlampe
To wash (the dishes);Abwaschen
To work;Arbeiten
Letter (sent by mail);Brief
Level;Niveau/stand
Bright;Hell
Bigger / Older;Älter
Thin;Schlank
Husband and wife;Ehepaar
I'm sorry;Tut mir leid
Thousand;Tausend
Wife;Ehefrau/Gattin
Much / Whole;Ganz
Currency;Münze
Mountain;Berge
To show;Zeigen
Nonetheless / However;Trotzdem
Numbers;Zahlen
Glasses;Brille
Every day;Taglich
Hour (like 1 hour, 2 hours);Stunde
To leave;Abfahren
To leave (by plane) / To take off;Abfliegen
To think / To believe;Glauben
To think / To believe;Meinen
Because (because);Weil
Why?;Warum/Wieso/Weshalb?
To lose;Verlieren
People;Leute
Pleasure;Gefallen
To like (e.g. I like it);Mögen
Nice to meet you;Freut Mich
More (+);Plus
Then;Dann
Can / To have permission to;Dürfen
Can / To be able to;Können
To withdraw (money) / To take off (planes);Abheben
To introduce;Vorstellen
Soon / In a while;Bald
Prices;Preise
Prison / Jail;Knast/Gefängnis
To try;Versuchen
Someone;Jemanden
Which;Welche
When?;Wann
This;Dass
Here;Hier
Cold (like a cold);Schnupfen
Refugees;Fluchtlinge
Regarding / Above / On / About;Über
To stay / To remain;Bleiben
To tidy up;Aufräumen
Delay;Verspätung
To greet;Gesund
To know;Wissen
Dark (like a cellar);Dunkel
If;Ob
If / When;Wenn
Second;Zweite
"Punctuation marks (?;:!)";Satzzeichen
Secret;Geheimnis
To seem;Aussehen
Always;Immer
To hear / To feel;Gehören
Single;Ledig
Money;Geld
Just / Only;Erst
Alone (male/female);Alaine
Only / Just;Nur
To explain;Erklären
Married;Verheiratet
Married;verheiratet
Star;Stern
Story / Tale;Geschichte
Stressful;mühsam
Success (to succeed);Erfolg
To turn;Abbiegen
There;Dort
Cough;Husten
Totally;Völlig
One and a half;Anderthab
Seller;Verkäufer
To come with;Mitkommen
Neighborhood;Nachbarschaft
Neighbor;Nachbar
Visit;Besuch
Visit / Visitors;Besuch
To visit;Besuchen
To live;Leben
To live;Wohnen
To want;Wollen
Volunteering;Freiwilligenarbeit
Volunteer;Freiwillig
From where;Woher
Aunt;Tante
Uncle;Onkel
Attention  ;Achtung
To register  ;Anmelden
Gladly  ;Gern
Right away / Soon  ;Gleich
To look forward to  ;Sich Freuen
To stand  ;Stehen
To compare  ;Vergleichen
To hike  ;Wandern
Broken  ;Zebrochen
Back  ;Zuruck
Yesterday  ;Gestern
To vomit;Erbrechen
To laugh;Lachen
Hello;Hallo
Talk to you soon;Aufwiederhören
Grey;Grau
Brown;Braun
Carpet;Teppich
To like;Gefallen
Refrigerator;Kühlschrank
Wood;Holz
Width;Breite
Lenght;Länge
Weird;Komisch
Remember;Erinnern
Childhood;Kindheit
Another way;Anders
Rent;Vermieten
Furnished room;Möbliertes Zimmer
Fitted kitchen;Einbauküche
Neighbor;Nachbar
